Dancehall;{Drum kit|Drum machine};{Reggae|Rhythm and blues|Ska|Dub music|Rocksteady|Deejay (Jamaican)}
Dansband;{Accordion|Bass guitar|Drum kit|Guitar|Saxophone|Keyboard instrument|Electric guitar|Steel guitar};{Country music|Pop music|Rock and roll|Swing music|Schlager music}
Dark ambient;{Electronic musical instrument|Field recording};{Ambient music|Industrial music|Dark wave|Drone music|Musique concrète}
Dark cabaret;{Accordion|Cello|Double bass|Drum kit|Guitar|Piano|Ukulele|Violin|Keyboard instrument|Singing|Steel-string acoustic guitar};{Punk rock|Glam rock|Gothic rock|Alternative rock|Dark wave|Post-punk|Vaudeville|Cabaret|Burlesque}
Dark metal;{Bass guitar|Drum kit|Keyboard instrument|Singing|Electric guitar};{Extreme metal|Gothic metal}
Dark rock;{Bass guitar|Drum kit|Electric guitar|Musical keyboard};{Heavy metal music|Gothic rock|Alternative rock}
Dark wave;NULL;{New wave music|Synthpop|Post-industrial music|Post-punk}
Darkcore;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Industrial music|Oldschool jungle}
Darkstep;{Music sequencer|Music tracker|Synthesizer|Sampler (musical instrument)};{Drum and bass|Industrial music|Techstep|Darkcore|Gabber}
De dragoste;NULL;NULL
Death-doom;{Bass guitar|Drum kit|Synthesizer|Electric guitar};{Death metal|Doom metal}
Death 'n' roll;{Bass guitar|Drum kit|Death growl|Electric guitar};{Death metal|Heavy metal music|Rock and roll|Hard rock}
Death metal;{Bass guitar|Drum kit|Singing|Death growl|Electric guitar};{Black metal|Hardcore punk|Thrash metal}
Deathcore;{Bass guitar|Drum kit|Singing|Electric guitar};{Death metal|Hardcore punk|Metalcore}
Deathgrind;{Bass guitar|Drum kit|Singing|Electric guitar};{Death metal|Grindcore}
Deathrock;{Bass guitar|Drum kit|Guitar|Singing|Synthesizer};{Punk rock|Psychedelic rock|Glam rock|Acid rock|Post-punk|Horror film score}
Deep funk;{Bass guitar|Drum kit|Keyboard instrument|Synthesizer|Horn section|Electric guitar|Clavinet};Funk
Deep house;{Phonograph|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Funk|House music|Soul music|Chicago house|Jazz}
Delta blues;{Guitar|Harmonica};Blues
Descarga;{Double bass|Flute|Piano|Violin|Tres (instrument)|Horn section|Latin percussion};{Mambo (music)|Son (music)|Cuban rumba|Filin (music)}
Desi Beats;{Drum machine|Keyboard instrument|Music sequencer|Dhol|Digital audio workstation|Synthesizer|Tumbi|Sampler (musical instrument)};{Bhangra (music)|House music|Dancehall|Bollywood|Hip hop}
Desi hip hop;{Rapping|Drum machine|Synthesizer|Sampler (musical instrument)|Bass (sound)};{Rhythm and blues|Soul music|Hip hop music|Hip hop}
Detroit blues;{Bass guitar|Drum kit|Harmonica|Piano|Saxophone|Electric guitar};Delta blues
Detroit techno;NULL;{House music|Synthpop|Chicago house|Electro (music)}
Deuda song;NULL;NULL
Dhaanto;NULL;NULL
Dhrupad;{Pakhavaj|Tanpura|Rudra veena};NULL
Diablada;{Trumpet|Tuba|Bass drum|Quena|Siku (instrument)|Cymbal};{Andean music|Culture of Spain}
Digital hardcore;{Bass guitar|Drum kit|Drum machine|Music sequencer|Synthesizer|Personal computer|Electric guitar|Sampler (musical instrument)|Musical keyboard|Groovebox};{Drum and bass|Hardcore punk|Industrial rock|Hardcore (electronic dance music genre)|Noise rock}
Dihanaam;NULL;NULL
Dirty rap;{Rapping|Drum machine|Sampler (musical instrument)|Turntablism};{New jack swing|Porn groove|Hip hop|Profanity}
Disco;{Bass guitar|Drum kit|Percussion instrument|Drum machine|Keyboard instrument|Singing|Horn section|Electric guitar|String section};{Funk|Bubblegum pop|Soul music|Philadelphia soul|Psychedelic soul|Pop rock|Latin music (genre)}
Disco polo;Electronic musical instrument;{Disco|Pop music|Eurodance|Italo disco|Euro disco|Music of Poland}
NULL;NULL;NULL
Diva house;{Human voice|Music sequencer|Synthesizer|Sampling (music)};{Disco|House music|Soul music|Dance-pop|Contemporary R&B|Gospel|Electronic dance music|Show tune}
Djent;{Bass guitar|Drum kit|Percussion instrument|Keyboard instrument|Singing|Synthesizer|Electric guitar};Progressive metal
Dondang Sayang;NULL;NULL
Doo-wop;Double bass;{Blues|Rock and roll|Rhythm and blues|Swing music|Gospel music|Jump blues|Spiritual (music)|Barbershop music|A cappella|Ballad|List of vocal groups}
Doom metal;{Bass guitar|Drum kit|Singing|Electric guitar};Heavy metal music
Downtempo;{Bass guitar|Brass instrument|Drum kit|Flute|Guitar|Percussion instrument|Saxophone|Rhodes piano|Keyboard instrument|String instrument|Organ (music)|Synthesizer|Personal computer|Sampler (musical instrument)};{Funk|House music|Ambient music|Dub music|Hi-NRG|Chill-out music|Hip hop music|Electronic music|Jazz|Groove (music)}
Dream pop;NULL;{Gothic rock|Alternative rock|Neo-psychedelia|Ethereal wave}
Dream trance;{Piano|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{House music|Trance music}
Drill 'n' bass;{Percussion instrument|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Drum and bass|Breakbeat hardcore|Intelligent dance music|Oldschool jungle|Techno}
Drill (music genre);NULL;{Gangsta rap|Trap music}
Drone metal;NULL;{Doom metal|Drone music|Experimental music}
Drone music;{Electronic musical instrument|Guitar|String instrument};{Ambient music|Noise music|Minimal music|Experimental rock|Electronic music|Indian classical music|Experimental music}
Drum and bass;{Drum machine|Keyboard instrument|Music sequencer|Digital audio workstation|Synthesizer|Personal computer|Sampler (musical instrument)};{House music|Breakbeat hardcore|Breakbeat|Electronica|Industrial music|Dub music|Rave music|Oldschool jungle|Darkcore|Reggae fusion|Electronic rock|Techno|Bass (sound)}
Dub music;{Bass guitar|Brass instrument|Drum kit|Guitar|Melodica|Mixing console|Electronic organ};{Reggae|Ska|Rocksteady|Electronic music}
Dub poetry;Guitar;Dub music
Dub techno;NULL;{Dub music|Techno}
Dubstep;{Drum machine|Music sequencer|Sampler (musical instrument)|Turntablism};{Drum and bass|Reggae|Dub music|Oldschool jungle|Grime music|Breakstep|2-step garage|Techno}
Dubtronica;NULL;{Trip hop|Electronica|Dub music|Reggae fusion|Hip hop music|Alternative dance}
Dunedin Sound;{Guitar|Human voice};{New wave music|Punk rock|Garage rock|Jangle pop|Indie pop|Lo-fi music|Psychedelic pop|Post-punk}
East Coast hip hop;{Brass instrument|Piano|Rapping|Drum machine|Music sequencer|Synthesizer|Beatboxing|Sampler (musical instrument)|Turntablism};{Disco|Funk|Rhythm and blues|Dancehall|Hip hop music|Jazz|Deejay (Jamaican)}
Eclecticism in music;NULL;NULL
NULL;NULL;NULL
Eefing;NULL;NULL
Electric blues;{Bass guitar|Drum kit|Harmonica|Piano|Saxophone|Keyboard instrument|Electric guitar};Blues
Electric folk;{Bass guitar|Double bass|Drum kit|Guitar|Mandolin|Recorder (musical instrument)|Violin|Tin whistle|Appalachian dulcimer|Electric instrument|Acoustic music|Bodhrán};{Folk music|Rock music|Folk rock|Contemporary folk music}
Electro-industrial;NULL;{Industrial music|Synthpop|Electronic body music|Post-industrial music|Electronic music}
Electro (music);{Vocoder|Drum machine|Roland TR-808|Talk box|Synthesizer|Sampler (musical instrument)|Keytar};{Disco|Funk|Chiptune|Synthpop|Hip hop music|Boogie (genre)|Electronic music}
Electro hop music;{Guitar|Rapping|Drum machine|Keyboard instrument|Music sequencer|Singing|Robotic voice effects|Synthesizer};{Electropop|Hip house|Electro (music)|Dance-pop|Pop-rap|Hip hop music|Electronic dance music}
Electro house;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)};{House music|Synthpop|Electroclash|Tech house|Electro (music)}
Electro swing;NULL;{House music|Swing music|Hip hop music|Jazz|Electronic dance music}
Electroclash;NULL;{House music|New wave music|Chiptune|Synthpop|Electropop|Electro (music)|Techno|Alternative dance|Post-punk}
Electronic body music;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Industrial music|Synthpop|Post-industrial music|Electropunk|Electronic music}
Electronic rock;NULL;{Rock music|Electronic music|Experimental music}
Electronica;{Drum|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Ambient music|Synthpop|Electronic music}
Electronicore;{Bass guitar|Drum kit|Keyboard instrument|Music sequencer|Singing|Synthesizer|Electric guitar};{Metalcore|Post-hardcore|Electronic music}
Electropop;{Bass guitar|Drum kit|Vocoder|Drum machine|Keyboard instrument|Singing|Acoustic guitar|Synthesizer|Personal computer|Electric guitar|Tape loop};{Disco|Pop music|Synthpop|Post-disco|Electronic music}
Electropunk;NULL;{Punk rock|Synthpop|Electronic rock}
Emo;{Bass guitar|Drum kit|Singing|Electric guitar};{Hardcore punk|Post-hardcore}
Emo pop;{Bass guitar|Drum kit|Singing|Electric guitar};{Emo|Pop punk}
Enka;{Bass guitar|Drum kit|Guitar|Piano|Saxophone|Trombone|Trumpet|Human voice|Shakuhachi|Shamisen};{Blues|Tango music|Ryūkōka|Min'yō|Rōkyoku}
Ethereal wave;NULL;{New wave music|Gothic rock|Dark wave|Post-punk}
Ethnic electronica;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)|Folk instrument};{World music|Electronica|Electronic dance music}
Ethno jazz;NULL;NULL
Euro disco;{Bass guitar|Electric guitar};{Disco|New wave music|Pop music|Rock music}
Eurobeat;NULL;{House music|Britpop|Hi-NRG|Dance-pop|Italo disco|Euro disco|Dance-rock}
Eurodance;{Drum machine|Music sequencer|Synthesizer|Electronic keyboard};{House music|Trance music|Hip house|Hi-NRG|Dance-pop|Euro disco|Hip hop music|Techno}
Europop;{Bass guitar|Drum kit|Piano|Drum machine|Synthesizer|Electric guitar|Musical keyboard};{Pop music|Electropop|Eurobeat|Vocal trance|Italo disco|Disco polo|Euro disco|Uplifting trance|Electronic dance music}
Exotica;{Piano|Theremin|Marimba|Vibraphone|Conga|Bongo drum};{World music|Lounge music|Space age pop|Jazz}
Experimental hip hop;Singing;Alternative hip hop
Experimental pop;NULL;{Pop music|Electronic music|Experimental music}
Experimental rock;NULL;{Rock music|Experimental music|Avant-garde music}
Extreme metal;{Bass guitar|Drum kit|Keyboard instrument|Singing|Electric guitar};Heavy metal music
Fado;{Classical guitar|Portuguese guitar|Acoustic bass guitar};Music of Portugal
Farruca;NULL;NULL
Fasıl;NULL;NULL
Fell (music);NULL;NULL
Festejo;NULL;NULL
Filk music;{Acoustic guitar|Folk instrument|Electronic keyboard};{Folk music|Science fiction|Fantasy}
Filmi pop;NULL;NULL
Filmi qawwali;NULL;NULL
Flamenco;{Classical guitar|Flamenco guitar};Andalusia
Flamenco rock;{Bass guitar|Classical guitar|Drum kit|Keyboard instrument|Electric guitar|Flamenco guitar|Cajón|Castanets|Palmas (music)|Zapateado (Spain)};{Flamenco|Rock music|Progressive rock}
Florida breaks;NULL;NULL
Folk jazz;{Bass guitar|Drum kit|Flute|Guitar|Harmonica|Piano|Saxophone|Trombone|Folk instrument};{Folk music|World music|Jazz|Experimental music}
Folk metal;{Bass guitar|Drum kit|Singing|Electric guitar|Folk instrument|Electronic keyboard};{Folk music|Heavy metal music|Folk rock}
Folk music;Folk instrument;NULL
Folk punk;{Accordion|Banjo|Drum kit|Mandolin|Violin|Singing|Acoustic guitar|Electric guitar};{Punk rock|Folk rock|Electric folk|Celtic rock}
Folk rhythm;NULL;NULL
Folk rock;{Bass guitar|Drum|Hammond organ|Harmonica|Piano|Singing|Acoustic guitar|Electric guitar|Fiddle};{Folk music|Pop music|Rock music}
Folkhop;{Internet|Singing|Laptop|Dhol|Music software};Punjab (region)
Folktronica;{Drum|Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Folk music|Intelligent dance music|Electronica|Microhouse|Avant-garde music}
Footwork (Chicago);{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{House music|Ghetto house}
Forró;{Accordion|Triangle (musical instrument)|Zabumba};{Polka|Contra dance}
Foxcore;NULL;NULL
Franco-country;{Dobro|Banjo|Bass guitar|Drum|Double bass|Harmonica|Mandolin|Piano|Singing|Electric guitar|Fiddle|Steel guitar|Pedal steel guitar|Electronic keyboard};Country music
Freak folk;{Percussion instrument|Acoustic guitar};{Psychedelic folk|Baroque pop|Avant-garde music}
Freakbeat;{Bass guitar|Drum kit|Harmonica|Tambourine|Keyboard instrument|Electric guitar};{Blues|Rock and roll|Rhythm and blues|Soul music|Beat music}
Free funk;{Bass guitar|Drum kit|Guitar|Saxophone};{Funk|Free improvisation|Free jazz|Jazz fusion|Avant-garde jazz|Jazz-funk}
Free improvisation;NULL;{Free jazz|Avant-garde jazz|Serialism|Aleatoric music|20th-century classical music}
Free jazz;NULL;{Jazz|Experimental music|Avant-garde music}
Freestyle music;{Guitar|Drum machine|Synthesizer};{Disco|Electro (music)|Italo disco|Contemporary R&B|Post-disco|Hip hop music|Latin music (genre)}
French house;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Disco|Chicago house|Deep house|Euro disco}
Fuji music;{Drum kit|Harmonica|Singing};Were music
Funk;{Bass guitar|Drum kit|Hammond organ|Piano|Drum machine|Keyboard instrument|Synthesizer|Conga|Horn section|Electric guitar|Clavinet};{Psychedelic rock|Rhythm and blues|Soul music|Jazz}
Funk carioca;{Phonograph|Drum machine|Synthesizer|Sampler (musical instrument)};{Miami bass|Electro (music)|Hip hop music|Freestyle music|Music of Brazil}
Funk metal;{Bass guitar|Drum kit|Rapping|Keyboard instrument|Singing|Electric guitar};{Heavy metal music|Hardcore punk|Thrash metal|Alternative metal|Dance-punk|Funk rock}
Funk ostentação;{Phonograph|Human voice|Drum machine|Synthesizer|Sampler (musical instrument)};{Funk carioca|Proibidão|Melodic funk}
Funk rock;{Bass guitar|Drum kit|Drum machine|Keyboard instrument|Singing|Electric guitar};{Funk|Psychedelic rock|Rock music}
Funktronica;NULL;{Funk|Electronica}
Funky house;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Disco|Funk|House music|Boogie (genre)}
Future garage;{Digital audio workstation|Synthesizer|Personal computer|Audio engineer|Sampler (musical instrument)};{Drum and bass|House music|Trip hop|Ambient music|Intelligent dance music|Grime music|Chill-out music|Dubstep|2-step garage|Techno|UK garage}
Future house;NULL;{House music|Deep house|Bass music}
Futurepop;{Drum machine|Digital audio workstation|Synthesizer|Sampler (musical instrument)};{Trance music|Synthpop|Electronic body music|Techno}
G-funk;{Rapping|Woodwind instrument|Drum machine|Keyboard instrument|String instrument|Talk box|Synthesizer|Turntablism|Vocal harmony};{Funk|Gangsta rap|West Coast hip hop|Contemporary R&B|P-Funk}
Gabber;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)|Bitcrusher};{Industrial music|Detroit techno|Tech house|Hardcore (electronic dance music genre)|Industrial hip hop}
Gaelic music;NULL;NULL
Gagok;NULL;NULL
Galerón;{Guitar|Mandolin|Cuatro (instrument)};NULL
Game Boy music;Game Boy line;{House music|Trance music|Chiptune|Electropop|Techno|Electronic music|Video game music}
Gamelan Gadhon;NULL;NULL
Gamelan Siteran;NULL;NULL
Gamelan bebonangan;NULL;NULL
Gamelan gambang;NULL;NULL
Gamelan salendro;NULL;NULL
Gamelan selunding;NULL;NULL
Gamelan semar pegulingan;NULL;NULL
Ganga (music);NULL;NULL
Gangsta rap;{Rapping|Drum machine|Beatboxing|Sampler (musical instrument)};{Hardcore hip hop|Hip hop music}
Gar (music);NULL;NULL
Garage music (US garage);{Phonograph|Drum machine|Keyboard instrument|Music sequencer|Synthesizer};{Disco|Soul music|Gospel music|Electronic music}
Garage punk;{Bass guitar|Drum kit|Drum machine|Keyboard instrument|Electric guitar};{Punk rock|Garage rock|Proto-punk|Glam punk}
Garage rock;{Bass guitar|Drum kit|Harmonica|Tambourine|Keyboard instrument|Electric guitar};{Blues|Pop music|Rock and roll|Rhythm and blues|Soul music|Instrumental rock|Rockabilly|Surf music|Beat music}
Gazel;NULL;NULL
Geek rock;{Electronic musical instrument|Guitar};Alternative rock
Genge;{Rapping|Keyboard instrument|Singing|Sampler (musical instrument)};{Dancehall|Music of Africa|Hip hop}
Ghetto house;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Hip house|Chicago house}
Ghettotech;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Turntablism};{Ghetto house|Electro (music)|Contemporary R&B|Techno|UK garage|Turntablism|Hip hop}
Girl group;{Music sequencer|Sampler (musical instrument)};{Disco|Pop music|Rock and roll|Rhythm and blues|Soul music|Traditional pop music|Swing music|Gospel music|Power pop|Jump blues|Electropop|Pop punk|J-pop|Dance-pop|Teen pop|Pop rock|Contemporary R&B|Vaudeville|Music hall|K-pop|Electronic dance music|Hip hop}
Glam metal;{Bass guitar|Drum kit|Keyboard instrument|Singing|Electric guitar};{Heavy metal music|Punk rock|Glam rock|Hard rock|Pop rock}
Glam rock;NULL;{Psychedelic rock|Rock and roll|Art rock|Bubblegum pop|Hard rock|Garage rock|Pop rock|Science fiction|Cabaret|Avant-garde}
Glitch (music);{SuperCollider|Max (software)|Pure Data|Reaktor|Music software|Circuit bending};{Breakbeat|Intelligent dance music|Chiptune|Noise music|Industrial music|Synthpop|Lo-fi music|Techno}
Go-go;{Bass guitar|Brass instrument|Drum kit|Saxophone|Keyboard instrument|Cowbell (instrument)|Synthesizer|Conga|Electric guitar|Timbales};Funk
Goa trance;{Drum machine|Music sequencer|Personal computer|Sampler (musical instrument)};{Psychedelic rock|Trance music|Electronic body music|Acid house}
Gombhira;NULL;NULL
Goombay;NULL;NULL
Goregrind;{Bass guitar|Drum kit|Electric guitar};{Death metal|Grindcore}
Gospel blues;NULL;{Blues|Spiritual (music)|Hymn}
Gospel music;{Bass guitar|Drum|Guitar|Piano|Tambourine|Human voice|Organ (music)};{Spiritual (music)|Hymn}
Gospel reggae;NULL;NULL
Gothabilly;{Double bass|Drum kit|Guitar};{Punk rock|Country rock|Gothic rock|Deathrock|Rockabilly|Surf music|Psychobilly}
Gothic metal;{Bass guitar|Cello|Drum kit|Violin|Keyboard instrument|Singing|Acoustic guitar|Synthesizer|Electric guitar};{Heavy metal music|Progressive rock|Gothic rock|Doom metal|Death-doom}
Gothic rock;NULL;{New wave music|Punk rock|Psychedelic rock|Glam rock|Art rock|Post-punk}
NULL;NULL;NULL
Grebo music;{Bass guitar|Drum kit|Guitar|Keyboard instrument|Singing|Sampler (musical instrument)};{Industrial music|Alternative rock|Garage punk|Post-punk|Electronic music}
Grime music;{Rapping|Deejay (Jamaican)|Music sequencer|Digital audio workstation|Master of ceremonies|Turntablism};{Drum and bass|House music|Soca music|Dancehall|Oldschool jungle|Electro (music)|2-step garage|Hip hop music|UK garage}
Grindcore;{Bass guitar|Drum kit|Singing|Electric guitar};{Hardcore punk|Thrash metal|Industrial music|Noise rock|Crust punk}
Groove metal;{Bass guitar|Drum kit|Singing|Death growl|Electric guitar};{Death metal|Heavy metal music|Hardcore punk|Thrash metal|Crossover thrash}
Groovy soca;Bass guitar;{Ragga|Soca music|Zouk}
Group Sounds;{Bass guitar|Drum kit|Guitar};{Rock and roll|Beat music|Kayōkyoku|British rock}
Grunge;{Bass guitar|Drum kit|Singing|Electric guitar};{Heavy metal music|Punk rock|Hardcore punk|Hard rock|Alternative rock|Noise rock}
Gumbe;NULL;{Zouk|Music of Guinea-Bissau}
Gwerz;NULL;NULL
Gwo ka;{Bass guitar|Djembe|Conga|Maraca|Boula (music)|Tubular bells};West Africa
Gypsy punk;{Accordion|Drum kit|Fiddle};{Punk rock|Klezmer|Folk punk|Post-punk|Gypsy style}
Gånglåt;NULL;NULL
Happy hardcore;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Trance music|Breakbeat hardcore|Hardcore (electronic dance music genre)|Bouncy techno|Eurodance|Acid house}
Harawi (genre);NULL;NULL
Hard NRG;{Drum machine|Music sequencer|Mixing console|Digital audio workstation|Synthesizer|Sampler (musical instrument)|MIDI controller|Software synthesizer};{Hardcore (electronic dance music genre)|UK hard house|Techno}
Hard bop;{Drum|Double bass|Guitar|Hammond organ|Piano|Saxophone|Trombone|Trumpet};{Blues|Rhythm and blues|Bebop|Gospel music|Jazz}
Hard rock;{Bass guitar|Drum kit|Piano|Keyboard instrument|Singing|Electric guitar};{Psychedelic rock|Rock and roll|Garage rock|Electric blues|Blues rock}
Hard trance;{Drum machine|Music sequencer|Synthesizer|Sampler (musical instrument)};{Ambient music|Happy hardcore|Hardcore (electronic dance music genre)|Electro (music)|UK hard house|Acid trance|New Beat|20th-century classical music}
Hardbag;NULL;{Hi-NRG|Dance-pop|Diva house|Electronic dance music}
Hardcore (electronic dance music genre);{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)|Bitcrusher};{Industrial music|Electronic body music|Acid house|Techno|New Beat}
Hardcore hip hop;NULL;Hip hop music
Hardcore punk;{Bass guitar|Drum kit|Singing|Electric guitar};{Punk rock|New Wave of British Heavy Metal}
Hardstep;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Turntablism};{Breakbeat hardcore|Oldschool jungle|Darkcore}
Hardstyle;{Phonograph|Speech synthesis|Music sequencer|Digital audio workstation|Synthesizer|Sampler (musical instrument)};{Industrial music|Mainstream hardcore|UK hard house|Hard trance|Techno}
Heartland rock;{Bass guitar|Drum kit|Harmonica|Keyboard instrument|Electric guitar};{Rock and roll|Rhythm and blues|Country rock|Garage rock|Folk rock}
Heavy metal music;{Bass guitar|Drum kit|Singing|Electric guitar};{Psychedelic rock|Blues rock}
Heyrati;{Tar (string instrument)|Daf|Kemenche};NULL
Hi-NRG;NULL;{Disco|Pop music|Glam rock|Synthpop|Space disco|Electronic dance music}
Highlife;{Guitar|Horn section};{Palm-wine music|Music of Africa|African popular music}
Hill country blues;Guitar;{Blues|Country blues}
Himene tarava;NULL;NULL
Hindu music;NULL;NULL
Hip hop music;{Rapping|Turntablism};{Disco|Funk|Reggae|Rhythm and blues|Dub music|Dancehall|Jazz|Scat singing|Deejay (Jamaican)|Talking blues|Spoken word|Griot|Performance poetry|Signifyin'|The Dozens}
Hip hop soul;Singing;{Soul music|New jack swing|Contemporary R&B|Hip hop music}
Hip house;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{House music|Hip hop music|Acid house}
Hiplife;{Human voice|Drum machine|Keyboard instrument|Digital audio workstation|Personal computer|Sampler (musical instrument)};{Highlife|Reggaeton|Hip hop music}
Hipster hop;{Guitar|Rapping|Keyboard instrument|String instrument|Synthesizer|Sampler (musical instrument)|Turntablism};{Indie rock|Hip hop music|Alternative hip hop|Electronic dance music}
Hiranaam;NULL;NULL
Hofii;NULL;NULL
Holler Blues;NULL;NULL
Holubka;NULL;NULL
Hopak-Kolom;NULL;NULL
Hori (music);NULL;NULL
Horror punk;{Bass guitar|Drum kit|Singing|Electric guitar};{Heavy metal music|Punk rock|Hardcore punk|Doo-wop|Gothic rock|Garage rock|Rockabilly|Shock rock|Glam punk}
Horrorcore;{Rapping|Drum machine|Programming (music)|Synthesizer|Sampler (musical instrument)|Turntablism};{Gangsta rap|Hardcore hip hop}
House music;NULL;{Disco|Synthpop|Electro (music)|Hi-NRG|Post-disco|Post-punk|Boogie (genre)}
Huayno;NULL;NULL
Humoresque;NULL;NULL
Hutsulka;NULL;NULL
Hyangak;NULL;NULL
Hyphy;{Bass guitar|Drum|Rapping|Keyboard instrument|Sampler (musical instrument)|Turntablism};{Southern hip hop|West Coast hip hop|Miami bass|Crunk}
Igbo highlife;{Brass instrument|Horn section|Fingerstyle guitar};{Highlife|Soukous|Igbo music}
Igbo rap;{Drum kit|Rapping|Keyboard instrument|Singing|Sampler (musical instrument)};{Hip hop music|African-American music|Igbo music}
Ikinimba;NULL;NULL
Illbient;{Electronics|Phonograph|Sampler (musical instrument)};{Trip hop|Ambient music|East Coast hip hop|Dub music|Industrial hip hop}
Imene metua;NULL;NULL
Imene tuki;NULL;NULL
Indie folk;{Accordion|Banjo|Brass instrument|Double bass|Drum kit|Mandolin|Piano|Violin|Pump organ|Acoustic guitar|Electric guitar};{Folk music|Indie rock|Folk rock|Folk punk|Lo-fi music}
Indie pop;NULL;{New wave music|Indie rock|Power pop|Post-punk}
Indie rock;{Bass guitar|Drum kit|Guitar|Drum machine|Keyboard instrument|Singing};{New wave music|Garage rock|Alternative rock|Folk rock|Post-punk}
Indigenous Nigerian music;NULL;NULL
Indo jazz;{Bass guitar|Drum kit|Guitar|Saxophone|Violin|Sitar|Tabla|Indian classical music};{Jazz|Raga|Classical music|Indian classical music}
Indo pop;NULL;Music of Indonesia
Indoribbean Pop;NULL;NULL
Industrial dance music;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Synthpop|Post-industrial music|Electronic dance music}
Industrial folk music;Human voice;{Folk music|Work song}
Industrial hip hop;{Bass guitar|Drum kit|Electronic musical instrument|Guitar|Rapping|Drum machine|Keyboard instrument|Synthesizer|Sampler (musical instrument)|Turntablism};{Industrial music|Industrial rock|Dub music|Post-industrial music|Alternative hip hop|Experimental music}
Industrial metal;NULL;{Heavy metal music|Hardcore punk|Thrash metal|Industrial rock|Electronic body music|Noise rock|Industrial dance music}
Industrial music;NULL;{Free improvisation|Noise music|Synthpop|Krautrock|Drone music|Post-punk|Electronic music|Musique concrète|Fluxus|Performance art|Experimental music|Avant-garde music}
Industrial rock;NULL;{New wave music|No wave|Industrial music|Synthpop|Electronic body music|Noise rock|Electronic rock|Post-punk|Experimental rock}
Instrumental rock;{Bass guitar|Drum kit|Keyboard instrument|Electric guitar};{Rock music|Instrumental}
Intelligent dance music;{Drum machine|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Electronic keyboard};{Drum and bass|Breakbeat|Electronica|Industrial music|Ambient house|Hip hop music|Acid house|Techno|Experimental music|Avant-garde music}
Iranian hip hop;Rapping;{Funk|Electronic music|Spoken word|Signifyin'|The Dozens}
Iroquois music;NULL;NULL
Isicathamiya;Singing;Mbube (genre)
Italo dance;{Drum machine|Music sequencer|Synthesizer|Electronic keyboard};{Eurodance|Eurobeat|Italo house|Italo disco|New Beat}
Italo disco;NULL;{Disco|Synthpop|Hi-NRG|Post-disco|Electronic rock|Italian popular music}
Italo house;NULL;{House music|Italo disco}
Item number;NULL;NULL
J-pop;{Vocaloid|Drum machine|Keyboard instrument|Singing|Synthesizer|Personal computer|Sampler (musical instrument)|Voices_samples};{House music|Synthpop|Europop|Electropop|Jazz fusion|Dance-pop|Kayōkyoku|Bitpop}
Jacking;NULL;NULL
Jaiva;NULL;{Folk music|World music|Indie rock|Pop rock}
Jam band;{Bass guitar|Drum kit|Piano|Keyboard instrument|Singing|Acoustic guitar|Synthesizer|Electric guitar};{Blues|Country music|Folk music|Funk|Psychedelic rock|Rock and roll|Rhythm and blues|Art rock|Progressive rock|Bluegrass music|Soul music|Country rock|Electric blues|Jazz fusion|Electronic music|Jazz}
Jangle pop;NULL;{Rock and roll|Folk rock|Power pop|Pop rock|Post-punk}
Japanese hardcore;NULL;NULL
Japanese hip hop;Rapping;{J-pop|Old-school hip hop}
Japanese reggae;Bass guitar;Reggae
Japanese ska;{Bass guitar|Drum kit|Guitar|Saxophone|Trombone|Trumpet};{Ska|Ska punk|J-pop}
Japanoise;NULL;{Psychedelic rock|Free improvisation|Noise music|Industrial music|Avant-garde jazz|Electronic music|Surrealist music}
