nome;genero
Def Squad;Hip hop music
Def Tech;NULL
Def Wish Cast;{Ragga|Hip hop music}
Default (band);{Hard rock|Alternative rock|Alternative metal|Post-grunge}
Defeated Sanity;Technical death metal
Defeater (band);{Emo|Melodic hardcore}
Defecation (band);Deathgrind
Defect Designer;Technical death metal
Defektno Efektni;{New wave music|Punk rock|Garage rock|Power pop}
Defenestration (band);Nu metal
Defiance Ohio (band);{Alternative country|Folk punk}
Defiance (band);{Progressive metal|Thrash metal}
Defiance (punk band);{Hardcore punk|Anarcho-punk|Street punk}
Defiler;{Nu metal|Metalcore|Deathcore|Groove metal}
Defleshed;{Death metal|Thrash metal}
Defrage;{Rock music|Alternative metal|Post-grunge}
Defryme;NULL
Defspiral;{Alternative rock|Alternative metal}
Deftones;{Nu metal|Alternative metal|Post-metal|Experimental rock}
Defunkt;{Jazz fusion|Dance-punk|Jazz-funk|Funk rock|Punk jazz|Experimental music}
Degenerates;Punk rock
Degrassi (band);Indie rock
Deichkind;{Electro (music)|Electropunk|Hip hop music}
Deicide (band);Death metal
Deine Lakaien;{Dark wave|Neoclassical dark wave|Electronic dance music|Avant-garde music}
Deinonychus (band);{Black metal|Death-doom|Dark metal}
Deitiphobia;{Industrial music|Electro (music)|Techno}
Deivos;Death metal
Deja Voodoo (Canadian band);Alternative rock
Deja Voodoo (New Zealand band);{Rock music|Hard rock}
Del Amitri;Alternative rock
Del Arno Band;{Reggae|World music|Pop rock|Jazz}
Del Castillo;NULL
Del McCoury Band;{Bluegrass music|Jam band}
Del Webb Explosion;{Pop music|Rock music|Soul music}
Delain;{Symphonic metal|Gothic metal}
Delakota;{Rock music|Dance music|Madchester}
Delaney & Bonnie;{Rock music|Blue-eyed soul}
Delaware (band);{Indie rock|Indie pop}
Delays;{Indie rock|Indie pop}
Delegation (band);{Funk|Rhythm and blues|Soul music}
Delerium;{Trance music|Worldbeat|Ambient house|Dark ambient|Electronic music}
Deleted Scenes (band);Rock music
Delhi 2 Dublin;NULL
Deli Creeps;{Funk metal|Avant-garde metal|Avant-garde music}
Delia Gonzalez and Gavin Russom;Electronica
Delight (band);{Alternative metal|Gothic metal}
Delinquent Habits;{Hip hop music|Latin hip hop}
Delirious?;{Christian rock|Contemporary worship}
Delirium (band);Progressive rock
Deliverance (metal band);{Heavy metal music|Speed metal|Progressive metal|Thrash metal|Christian metal}
Deliverance (rock band);{Pop music|Rock and roll}
Delivery (band);{Blues|Progressive rock}
Della Mae;NULL
Delorean (band);{Balearic beat|Alternative dance}
Delorentos;{Indie rock|Alternative rock}
Delphian (band);{Heavy metal music|Progressive metal}
Delphic;{Shoegazing|Electronic rock|Alternative dance}
Delta-S;{Trance music|Industrial music}
Delta-V (musical group);Pop music
Delta 5;{New wave music|Post-punk}
Delta Heavy;NULL
Delta Rae;{Country rock|Folk rock|Blues rock|Roots rock}
Delta Spirit;{Soul music|Indie rock|Americana (music)}
Deltron 3030;Hip hop music
Deluhi;{Progressive metal|Alternative metal|Metalcore}
Deluka;{New wave music|Indie rock|Electropop}
Delux;Pop rock
Deluxe (musical group);{Funk|Pop music|Electro (music)|Hip hop music|Jazz|Groove}
Dem Franchize Boyz;{Southern hip hop|Hip hop music}
Dembo Konte and Kausu Kuyateh;{Folk music|World music}
Demdike Stare;{Ambient music|Intelligent dance music|Dark ambient|Electronic music}
Demented Are Go;{Punk rock|Psychobilly}
Demenzia;{Death metal|Doom metal|Melodic death metal|Metalcore|Death-doom}
Demians;{Art rock|Post-rock|Alternative rock|Alternative metal}
Demigod (band);Death metal
Demigodz;{Hip hop music|Underground hip hop}
Demilich (band);Technical death metal
Demiricous;Thrash metal
Demise of Eros;{Christian metal|Metalcore}
Demob (band);Punk rock
Demolition 23;Glam punk
Demolition Doll Rods;{Glam rock|Garage rock}
Demolition Hammer;{Death metal|Thrash metal|Groove metal}
Demon's Claws;Garage rock
Demon (band);{Heavy metal music|Progressive rock|Hard rock}
Demon Cleaner (band);Stoner rock
Demon Fuzz;{Psychedelic rock|Afro-rock}
Demon Hunter;{Nu metal|Christian metal|Alternative metal|Metalcore|Groove metal}
Demon Strings;{Orchestra|Classical music}
Demoncy;Black metal
Demoniac;{Black metal|Power metal}
Demonic Resurrection;{Death metal|Symphonic metal}
Demonoid (band);Extreme metal
Demons (band);{Punk rock|Rock music|Hard rock|Garage rock|Power pop|Garage punk}
Demons and Wizards (band);Power metal
Dempagumi.inc;J-pop
Den Fule;Folk rock
Den Saakaldte;Black metal
Den Sorte Skole;{World music|Experimental music|Turntablism|Leftfield_(genre)}
Den Za Den;{Instrumental rock|Folk rock|Jazz fusion}
Den svenska björnstammen;{Pop music|Techno}
Denali (band);Indie rock
Dendera (Band);{Heavy metal music|Traditional heavy metal}
Dengue Fever (band);{Rock music|Surf music|Psychedelic music|Independent music|Music of Cambodia}
Denim (band);{Glam rock|Indie rock}
Denis & Denis;{New wave music|Synthpop}
Denki Groove;{Synthpop|J-pop|Shibuya-kei|Hip hop music}
Denney and The Jets;{Indie rock|Garage rock|Blues rock}
Denovo (band);{New wave music|Pop rock}
Denver Harbor;{Alternative rock|Post-grunge}
Denver Taiko;NULL
Denver and the Mile High Orchestra;NULL
Deny (band);{Metalcore|Post-hardcore|Electronic music}
Deolinda;{Folk music|World music|Fado|Music of Portugal}
Depapepe;{Instrumental|Acoustic music}
Department S (band);{New wave music|Post-punk}
Department of Eagles;{Psychedelic rock|Indie rock|Folk rock|Psychedelic folk|Electronic rock|Experimental rock}
Depeche Mode;{New wave music|Synthpop|Alternative rock|Dance-rock|Electronic rock}
Dependency (band);{Hardcore punk|Melodic hardcore|Christian hardcore}
Deportees (band);NULL
Depressed Mode;{Doom metal|Death-doom}
Depressive Age;Technical_Thrash_Metal
Depresszió;{Heavy metal music|Rock music}
Depswa;{Nu metal|Alternative metal}
Depth & Current;{Shoegazing|Noise pop}
Der Blutharsch;{Neofolk|Martial industrial|Ambient industrial}
Der Panther;{Flamenco|Rock music|Art rock|Ambient music|Avant-garde|Experimental music|Tropical music|Psych_synth|Noise_bit}
Der Plan;Neue Deutsche Welle
Der Zibet;Rock music
Deranged (band);{Death metal|Grindcore}
Derek and the Dominos;{Hard rock|Blues rock}
Dern Rutlidge;Stoner rock
Dernière Volonté;Martial industrial
Derozer;{Punk rock|Hardcore punk}
Derry and the Seniors;{Rock and roll|Beat music}
Dervish (band);Folk music
Derwyddon Dr Gonzo;{Afrobeat|Funk|Ska}
Des Peres (band);{Dance music|Independent music}
Desa (band);{Punk rock|Alternative rock}
Desangre;NULL
Desaparecidos (band);{Punk rock|Emo|Indie rock|Post-hardcore}
Desario;{Indie rock|Indie pop}
Desaster;{Black metal|Thrash metal}
Descendants of Erdrick;Video game music
Descendents;{Punk rock|Hardcore punk|Pop punk|Melodic hardcore}
Desecration (band);Death metal
Desert (band);{House music|Electronica}
Desert Dolphins;Country music
Desert Planet;Bitpop
Desert Rock (band);{Blues|Rock music|World music|African blues}
Desiderii Marginis;{Industrial music|Dark ambient|Neofolk|Electronic music}
Desideros;NULL
Design (UK band);{Folk rock|Sunshine pop}
Design the Skyline;{Metalcore|Deathcore}
Desire (band);{Synthpop|Italo disco}
Deskarga Etilika;{Grindcore|Crust punk|D-beat}
Desmadrados Soldados de Ventura;Psychedelic rock
Desmod;{Rock music|Pop rock}
Desorden Público;{Reggae|Ska|Rock en español}
Despair (band);Thrash metal
Desperado (band);Heavy metal music
Desperadoes Steel Orchestra;{Calypso music|Steelpan|Music of Trinidad and Tobago}
Desperation Band;{Contemporary Christian music|Contemporary worship music}
Desperation Squad;{Punk rock|Outsider music|Avant-garde}
Despised Icon;Deathcore
Despistado;Indie rock
Despite (band);{Progressive metal|Thrash metal|Melodic death metal|Mathcore|Djent}
Dessoff Choirs;NULL
Destination (group);NULL
Destination Anywhere (band);{Pop punk|Ska punk}
Destine;{Emo|Alternative rock|Power pop|Pop punk}
Destinee & Paris;Pop music
Destiny's Child;{Pop music|Soul music|Contemporary R&B}
Destiny (band);Heavy metal music
Destrage;{Progressive metal|Mathcore}
Destrophy;{Heavy metal music|Alternative metal}
Destroy!;{Grindcore|Crust punk}
Destroy 2;{Hardcore punk|Noise rock}
Destroy All Monsters (band);{Punk rock|Psychedelic rock|Art rock|Noise rock|Proto-punk|Experimental rock}
Destroy Babylon;{Punk rock|Reggae|Dub music}
Destroy Destroy Destroy;{Viking metal|Thrash metal|Symphonic black metal|Power metal|Melodic death metal}
Destroy Rebuild Until God Shows;{Alternative rock|Post-hardcore|Experimental rock}
Destroy the Runner;{Nu metal|Christian metal|Metalcore}
Destroyalldreamers;{Post-rock|Shoegazing}
Destroyer (band);Indie rock
Destruction (band);{Black metal|Thrash metal}
Destry (band);{Indie rock|Indie folk}
Deströyer 666;{Black metal|Death metal|Thrash metal}
Det Vackra Livet;{Indie rock|Shoegazing|Dream pop}
Detachments (British band);{Art rock|Industrial music|Synthpop|Post-punk revival|Cold wave (music)|Minimal wave|Synthwave}
Detective (band);{Soul music|Hard rock|Funk rock}
Detective Kalita;Indie rock
Detektivbyrån;{Folk music|Electronica|Folktronica}
Detente (band);Thrash metal
Dethklok;Death metal
Detonation (band);{Death metal|Thrash metal|Melodic death metal}
Detonautas Roque Clube;{Alternative rock|Melodic hardcore|Post-punk revival|Neo-psychedelia}
Detritus (band);{Thrash metal|Christian metal|Pirate metal}
Detroit's Most Wanted;{Gangsta rap|Midwest hip hop}
Detroit Diesel (band);Electronic body music
Detroit Grand Pubahs;{Detroit techno|Electronic dance music}
Detroit Party Marching Band;{Brass band|Marching band}
Deuce (band);{Pop music|Dance-pop|Eurodance}
Deuce Mob;{Hip hop music|Latin hip hop|Chicano rap|Southwest_Hip_Hop}
Deus (band);{Indie rock|Alternative rock|Experimental rock}
Deus Ex Machina (heavy metal band);{Death metal|Progressive metal|Thrash metal}
Deus Invictus;{Death metal|Progressive metal|Metalcore|Technical death metal}
Deuteronomium (band);{Death metal|Melodic death metal|Death 'n' roll}
Deutsch Amerikanische Freundschaft;{Industrial music|Electronic body music|Neue Deutsche Welle|Minimal music|Electropunk}
Deutsch Nepal;{Dark ambient|Ambient industrial}
Deux (band);{Hip hop music|K-pop|New_Jack_swing}
Devas (band);{Ambient music|Contemporary Christian music}
Deveykus;{Doom metal|Klezmer|Drone metal|Jewish rock music|Nigun}
Devian;{Black metal|Death metal|Thrash metal}
Devianz;{Grunge|Indie rock|Power metal}
Deviated Instinct;{Death metal|Crust punk}
Deviations Project;{Pop music|Electronic music|Classical music}
Device (metal band);{Hard rock|Alternative metal|Industrial metal}
Device (pop rock band);{Pop music|Rock music|Dance-rock}
Devics;{Alternative rock|Dream pop|Slowcore}
Devil's Anvil;{Hard rock|Psychedelia}
Devil's Nite;Hard rock
DevilDriver;{Melodic death metal|Groove metal}
Devil City Angels;Rock music
Devil Doll (Slovenian band);{Heavy metal music|Symphonic rock|Art rock|Progressive rock|Gothic rock|Experimental rock}
Devil Kitty;{Hard rock|Avant-garde metal|Experimental rock}
Devil Sold His Soul;{Metalcore|Post-metal}
Devil You Know (band);Metalcore
Devil in a Woodpile;{Country rock|Alternative country}
Devilhead;{Alternative rock|Post-grunge}
Devilish Impressions;{Black metal|Death metal|Avant-garde metal}
Devilish Presley;{Punk rock|Gothic rock|Deathrock}
Devilment;{Heavy metal music|Extreme metal|Gothic metal}
Devils Brigade;{Punk rock|Psychobilly}
Devilskin;{Heavy metal music|Alternative metal}
Devo;{New wave music|Synthpop|Art punk|Electronic rock|Post-punk|Art pop}
Devo 2.0;{Teen pop|Children's music}
Devoid of Faith;Hardcore punk
Devolution (band);{Breakbeat|Electronica|Industrial metal}
Devolved (band);Technical death metal
Devour the Day;{Nu metal|Hard rock}
Devourment;Death metal
Dew-Scented;{Death metal|Thrash metal}
Dewa 19;{Rock music|Pop rock}
Dexter Danger;{Punk rock|Alternative rock|Pop punk}
Dexter Freebish;Alternative rock
Dexys Midnight Runners;{New wave music|Pop music|Rock music|Soul music|Celtic music}
Dezerter;{Hardcore punk|Anarcho-punk}
Dezil';{Reggae|Zouk}
Dezperadoz;{Heavy metal music|Thrash metal|Southern rock}
Dhamakapella;{Jazz fusion|A cappella}
Dharma Bums (band);{Garage rock|Alternative rock}
Dharmaratne Brothers;Music of Sri Lanka
Dharohar Project;NULL
Dhol Academy;{Bhangra (music)|World music}
Dhunn;Indian Rock
Di'Anno;NULL
Di-rect;{Rock music|Alternative rock|Pop punk|Pop rock}
Di Derre;{Pop music|Rock music}
Dia Psalma;{Heavy metal music|Punk rock|Alternative rock|Folk rock}
Dia de los Muertos (band);{Death metal|Heavy metal music|Speed metal|Thrash metal|Hard rock}
Diablo (band);{Thrash metal|Melodic death metal}
Diablo Blvd;{Heavy metal music|Hard rock}
Diablo Swing Orchestra;{Progressive metal|Avant-garde metal|Swing revival|Symphonic metal}
Diaboli;{Black metal|Death metal}
Diabolic;Death metal
Diabolical Masquerade;{Black metal|Avant-garde metal}
Diabolique (band);{Gothic rock|Gothic metal}
Diabologum;Rock music
Diabolus Arcanium;{Black metal|Symphonic black metal|Power metal|Melodic death metal}
Diabulus in Musica;{Symphonic metal|Gothic metal}
Diafana Krina;{Progressive rock|Alternative rock|Post-punk}
Diaframma;{Punk rock|Gothic rock|Dark wave}
Diafrix;NULL
Diagram of the Heart;{Pop music|Electronic music|Dance music}
Diagrams (band);{Folk music|Pop music|Rock music}
Dial M for Murder!;{Indie rock|Electro (music)|Post-punk revival}
Dialog (band);{Progressive rock|Pop rock}
Diamond Carter;Indie rock
Diamond Cats;Pop music
Diamond Dogs (band);{Rock music|Glam rock|Soul music|Hard rock|Blues rock}
Diamond Duggal;{Bhangra (music)|Funk|Pop music|Rock music|Reggae|Rhythm and blues|Bollywood|Dance music}
Diamond Head (Japanese band);{Pop music|Rock music}
Diamond Head (band);Heavy metal music
Diamond Nights;Rock music
Diamond Plate;Thrash metal
Diamond Rexx;{Heavy metal music|Glam metal}
Diamond Rio;{Country music|Christian country music}
Diamond Rugs;Indie rock
Diamond Youth;Alternative rock
Diamonds under fire;{Rock music|Alternative rock|Pop rock}
Diana (band);{Synthpop|Indie pop|Chillwave}
Dianogah;Indie rock
Diante do Trono;{Contemporary Christian music|Contemporary worship music|Pop rock}
Diarrhea Planet;{Punk rock|Rock and roll|Indie rock}
Diary of Dreams;{Dark wave|Electro-industrial}
Diaspora Yeshiva Band;{Blues|Country music|Folk music|Bluegrass music|Klezmer|Jewish rock music|Jazz}
Diatribe (band);{Industrial rock|Industrial metal}
Diaura;{Hard rock|Alternative metal|Metalcore}
Diazepunk;{Punk rock|Pop punk}
DickPunks;Rock music
Dick Diver;Indie pop
Dick and Dee Dee;{Pop music|Rock and roll|Rhythm and blues}
Dickless;{Heavy metal music|Punk rock|Grunge|Riot grrrl}
Dicks (band);Punk rock
Dicks and Janes;A cappella
Dicot (band);Pop music
Dicta License;{Nu metal|Grunge|Rap rock}
Diddy – Dirty Money;{Contemporary R&B|Hip hop music}
Die! Die! Die!;{Punk rock|Noise pop|Post-punk revival}
DieMonsterDie;Horror punk
Die 3 Colonias;{Colognian dialect|Carnival in Germany Switzerland and Austria}
Die Antwoord;{Rave music|Alternative hip hop}
Die Apokalyptischen Reiter;{Heavy metal music|Folk metal|Thrash metal|Melodic death metal|Avant-garde metal|Neue Deutsche Härte}
Die Doofen;NULL
Die Fantastischen Vier;{Pop-rap|German hip hop}
Die Firma;Hip hop music
Die Flippers;{Easy listening|Schlager music}
Die Form;{Industrial music|Neoclassical dark wave|Cold wave (music)}
Die Goldenen Zitronen;{New wave music|Punk rock|Electro (music)|Hip hop music|Techno|Jazz|Avant-garde music}
Die Happy;{Alternative rock|Alternative metal}
Die Happy (band);{Christian rock|Christian metal}
Die Haut;Post-punk
Die Heuwels Fantasties;Electronic music
Die Kassierer;Punk rock
Die Kreuzen;{Hardcore punk|Alternative rock|Post-punk}
Die Krupps;{Electronic body music|Industrial metal|Post-industrial music}
Die Kur;{Heavy metal music|Punk rock|Rock music|Noise music|Electronica|Industrial music|Industrial metal|Post-industrial music|Gothic metal|Electro-industrial|Musique concrète|Avant-garde music}
Die Laughing (band);{Gothic rock|Alternative rock|Ethereal wave}
Die Mannequin;Alternative rock
Die Prinzen;{Pop rock|A cappella}
Die Rhöner Säuwäntzt;{Folk music|Skiffle}
Die Sekte;German hip hop
Die Singphoniker;A cappella
Die So Fluid;Alternative metal
Die Sterne;{Indie pop|Hamburger Schule}
Die Streuner;NULL
Die Toten Hosen;{Heavy metal music|Punk rock|Hardcore punk|Thrash metal|Emo|Hard rock|Alternative rock|Alternative metal|Melodic hardcore}
Die Trying (band);{Nu metal|Alternative metal|Post-grunge}
Die Verbannten Kinder Evas;{Dark wave|Neoclassical dark wave}
Die Verboten;Krautrock
Die Warzau;{New wave music|Industrial music|Synthpop|Electronic body music}
Die in Cries;{Alternative rock|Pop rock}
Die Ärzte;{Punk rock|Alternative rock|Pop punk|Ska punk|Pop rock}
Diecast (band);{Alternative metal|Metalcore}
Died Pretty;Alternative rock
Diego's Umbrella;{Punk rock|Gypsy punk}
Diego (band);{Indie rock|Post-punk}
Diemonds;{Heavy metal music|Hard rock|Glam metal}
Dies Irae (band);Death metal
Diesear;Melodic death metal
Diesel (band);{Progressive rock|Pop rock}
Diesel Boy;{Punk rock|Pop punk|Skate punk}
Diesel Park West;Alternative rock
Dieselhed;NULL
Dif Juz;{Post-rock|Dream pop|Post-punk}
Difang and Igay Duana;NULL
Difference United;{Pop music|Christian rock|Electronic music}
Different Touch;{Blues|Soft rock|Pop rock}
Diffuser (band);{Hard rock|Alternative rock|Pop punk}
Difuntos Correa;{Nueva canción|Rock en español}
DigHayZoose;Christian alternative rock
Dig (band);{Grunge|Alternative rock|Shoegazing}
Digable Planets;{Jazz rap|Alternative hip hop}
Digger (band);Pop punk
Diggin' in the Crates Crew;Hip hop music
Digging Roots;{Folk rock|Aboriginal music of Canada}
Digi+Phonics;Hip hop music
Digital Mystikz;Dubstep
Digital Poodle;{Electronic body music|Electronic music}
Digital Punk;Hardstyle
Digital Summer;{Nu metal|Hard rock|Alternative metal}
Digital Underground;{Funk|West Coast hip hop|Hip hop music|Alternative hip hop}
Digitalis Purpurea (band);{Black metal|Electronica|Industrial music|Industrial rock|Industrial metal|Electro-industrial|Noise}
Digitalism (band);{Dance-punk|Electronic rock|Alternative dance|Electro house}
Digitata (band);Electronic rock
Digitonal;Electronica
Dignan (band);{Indie rock|Alternative rock}
Dikembe (band);Emo
Dikta;{Rock music|Indie rock|Alternative rock|Pop rock}
Dilated Peoples;Hip hop music
Dili Allstars;Reggae_Glam_RockSoul_Ska
Dillard & Clark;{Country rock|Progressive bluegrass}
Dillinger Four;Punk rock
Dillon & Dickins;{House music|UK garage|Dance music}
Dim Mak (band);Death metal
Dime Store Prophets;Modern rock
Dimension Zero (American band);{Gothic rock|Electronic music}
Dimension Zero (Swedish band);{Thrash metal|Melodic death metal}
Dimitri Vangelis & Wyman;Progressive house
Dimitri Vegas & Like Mike;Electronic dance music
Dimmer (band);Alternative rock
Dimmi Argus;{Heavy metal music|Folk metal|Hard rock}
Dimmu Borgir;Symphonic black metal
Dingo (band);{New wave music|Rock music|Glam rock|Pop rock}
Dingobats;Jazz
Dink (band);NULL
Dinner and a Suit;{Indie rock|Alternative rock|Pop rock}
Dinnington Colliery Band;British brass band
Dinosaur Bones;Indie rock
Dinosaur Jr.;{Indie rock|Alternative rock|Noise rock}
Dinosaur Pile-Up;{Alternative rock|Power pop|Post-grunge}
Dinowalrus;{Psychedelic rock|Post-punk revival|Experimental rock}
Dinu Lipatti;Classical music
Dinwiddie Colored Quartet;NULL
Dio (band);Heavy metal music
Dio – Distraught Overlord;{Doom metal|Melodic death metal|Metalcore|Gothic metal}
Dion and the Belmonts;NULL
Dionysos (American band);{Rock music|Progressive rock|Philosophy}
Dionysos (Canadian band);Progressive rock
Dionysos (French band);{Rock music|Art rock}
Dionysus (band);{Heavy metal music|Power metal}
Diorama (band);{Synthpop|Dark wave}
Dios (malos);{Folk music|Indie rock|Acoustic music}
Dios Ke Te Crew;{Political hip hop|Hip hop music}
Dir En Grey;{Death metal|Nu metal|Progressive metal|Alternative metal|Avant-garde metal|Gothic metal}
Dire Straits;{Pub rock (United Kingdom)|Blues rock|Roots rock}
Direc-t;Alternative rock
Direct Hit (band);{Punk rock|Pop punk}
Direct Influence;{Rock music|Electro (music)}
Director (band);{Pop music|Art rock}
Direktori;{Punk rock|Ska|Oi!}
Dirge (band);{Doom metal|Industrial metal|Sludge metal|Post-metal}
Dirk Ivens;{Electronic body music|Power noise|Electro-industrial|Electronic dance music}
Dirotta su Cuba;{Funk|Smooth jazz}
Dirt Bike Annie;{Power pop|Pop punk}
Dirtfedd;{Heavy metal music|Hardcore punk|Industrial metal}
Dirtfoot;NULL
Dirtie Blonde;{Pop music|Rock music}
Dirty (group);{Gangsta rap|Southern hip hop}
Dirty Americans;Rock music
Dirty Circus;Canadian hip hop
Dirty District;{Punk rock|Reggae|Jazz fusion|Rap metal}
Dirty Dozen Brass Band;{Funk|Soul music|New Orleans rhythm and blues|Jazz fusion|Jam band|Jazz|Second line (parades)}
Dirty Epics;{New wave music|Punk rock|Pop music}
Dirty Heads;{Ska|Alternative rock|Reggae fusion|Reggae rock|Alternative hip hop|Acoustic music}
Dirty Karma;{Psychedelic rock|Indie rock}
Dirty Little Rabbits;{Psychedelic rock|Indie rock|Alternative rock}
Dirty Looks (New York band);Power pop
Dirty Looks (band);{Heavy metal music|Hard rock}
Dirty Loops;{Jazz fusion|Pop rock}
Dirty Martini (band);{Indie rock|Indie pop}
Dirty North;{Rock music|Reggae|Hip hop music}
Dirty Penny;Glam metal
Dirty Pretty Things (band);{Indie rock|Garage rock}
Dirty Projectors;{Indie rock|Experimental pop}
Dirty Radio;{Indie rock|Electro (music)|Contemporary R&B}
Dirty Rig;{Heavy metal music|Hard rock|Southern rock}
Dirty Sanchez (band);{Gothic rock|Electroclash}
Dirty Three;{Post-rock|Instrumental rock}
Dirty Vegas;{House music|Electronica}
Dirty White Boy (band);Glam metal
Dirty on Purpose;{Indie rock|Shoegazing|Noise rock|Indie pop}
Dirtyphonics;{Drum and bass|Dubstep|Electronic rock|Electro house|Trap music}
Dis-n-Dat;{Miami bass|Hip hop music}
DisJam;{Acid jazz|Jazz-funk}
Disacode;Rock music
Disagree (band);Alternative rock
Disappear Fear;{Blues|World music|Music of Latin America|Indie pop|Indie folk|Americana (music)}
Disappears;Alternative rock
Disarm (band);Hardcore punk
Disarmonia Mundi;{Melodic death metal|Technical death metal}
Disaster In The Universe;{Pop music|Rock music|Electronica|Calypso music|Dub music|Psychedelia}
Disavowed;Death metal
Disbelief;{Death metal|Doom metal}
Discharge (band);{Heavy metal music|Punk rock|Hardcore punk|Crust punk|D-beat|Crossover thrash}
Disciple (band);{Heavy metal music|Hard rock|Southern rock|Alternative metal}
Disciplin A Kitschme;{Drum and bass|Funk|Alternative rock|Jazz fusion|Noise rock|Post-punk}
Discipline (band);Progressive rock
Disciplinska komisija;Bosnian and Herzegovinian hip hop
Disclosure (band);{House music|Synthpop|Deep house|UK funky|Future garage|UK garage}
Disco-Tex and the Sex-O-Lettes;Disco
Disco 2000;NULL
Disco Biscuits;{Disco Biscuits|Livetronica|Jam band}
Disco Curtis;{Pop music|Rock music|Emo|Indie rock}
Disco Ensemble;{Alternative rock|Post-hardcore|Dance-punk|Electronic rock}
Disco Inferno (band);{Post-rock|Post-punk|Experimental rock}
Disco Montego;{Rhythm and blues|Dance music}
Discomind;{Disco|House music|Rock music}
Disconvenience;{Punk rock|Rock and roll}
Discordance Axis;Grindcore
Discount (band);Punk rock
Discovery (band);{Futurepop|Electronic music}
Discovery Gospel Choir;Gospel
Disembodied (band);{Hardcore punk|Metalcore}
Disembowelment (band);Death-doom
Disen Gage;{Progressive rock|Hard rock|Instrumental rock|Jazz fusion|Experimental rock}
Disentomb;Death metal
Disfear;{Crust punk|D-beat}
Disflex6;Alternative hip hop
Disgorge (American band);Death metal
Disgorge (Mexican band);{Death metal|Goregrind}
Dish (Japanese band);{Rock music|J-pop}
Disharmonic Orchestra;{Death metal|Grindcore|Avant-garde metal|Technical death metal}
Dishwalla;{Alternative rock|Post-grunge}
Disillusion (band);{Progressive metal|Melodic death metal}
Diskoteka Avariya;{Disco|House music|Eurodance|Pop rock|Pop-rap|Hip hop music}
Diskreet;{Technical death metal|Deathcore}
Dislocation Dance;Post-punk
Dismal Euphony;{Black metal|Symphonic black metal|Gothic metal}
Dismember (band);Death metal
Disney Channel Circle of Stars;Cover version
Disorder (band);Crust punk
Disown (band);Industrial rock
Dispatch (band);{Ska|Roots rock|Rap rock|Reggae fusion|Indie folk|Jam band}
Dispatched;{Death metal|Melodic death metal}
Disperse;{Rock music|Garage rock}
Dispirit;{Black metal|Doom metal}
Displacer (band);Intelligent dance music
Disrupt;{Grindcore|Crust punk}
Dissection (band);{Black metal|Death metal|Melodic death metal}
Dissident Prophet;Indie rock
Dissidenten;World music
Dissipated Eight;Collegiate a cappella
Dissolve (band);{Psychedelic rock|Post-rock}
Distant Cousins (American band);Indie pop
Distant Relative;NULL
Distant Relatives (band);{Hip hop music|Underground hip hop}
Distemper (band);{Hardcore punk|Ska punk}
Distorted;{Progressive metal|Folk metal|Death-doom}
Distorted Harmony;{Progressive metal|Alternative rock|Djent}
Distorted Pony;{Industrial rock|Noise rock}
Distorted world;{Industrial music|Gothic rock|Dark wave}
Distortion Mirrors;{Art rock|Alternative rock|Independent music}
District 7 (band);{Punk rock|Hardcore punk|Pop punk|Skate punk|Melodic hardcore}
District 97;Progressive rock
District Unknown;{Progressive metal|Stoner rock}
Disturbed (band);{Heavy metal music|Nu metal|Hard rock|Alternative metal}
Disturbing the Peace (band);Alternative rock
Ditt Inre;{Synthpop|Dream pop|Indie pop|Electronic music}
Diva (Japanese band);Pop music
Diva (South Korean band);{Rhythm and blues|Hip hop music|K-pop}
Diva Destruction;{Gothic rock|Dark wave}
Dive (Belgian band);{Electro-industrial|Electronic dance music}
Dive Dive;Rock music
Diverse Harmony;{Musical theatre|Choir|Contemporary classical music|Popular music|Vocal jazz}
Diversity (dance troupe);{Tabitha and Napoleon D'umo|Hip-hop dance|B-boying|Street dance|Acrobatics|Robot (dance)}
Divide the Sea;{Hardcore punk|Southern rock|Christian metal|Metalcore|Christian hardcore}
Divided Skies;Thrash metal
Divididos;{New wave music|Hard rock|Alternative rock|Folk rock|Funk metal|Funk rock}
Divina Enema;{Progressive metal|Extreme metal|Avant-garde metal|Symphonic metal|Gothic metal}
Divine Divine;Urban contemporary gospel
Divine Fits;{Art rock|Indie rock}
Divine Heresy;{Death metal|Thrash metal|Industrial metal|Metalcore|Groove metal}
Divine Inspiration;Dance music
Divinefire;{Thrash metal|Power metal|Christian metal|Symphonic metal}
Diving for Pearls;Rock music
Divinity Destroyed;Progressive metal
Divinyls;{New wave music|Pub rock (United Kingdom)|Soft rock|Pop rock}
Division Day;NULL
Division of Laura Lee;{Indie rock|Garage rock|Alternative rock|Post-punk revival}
División Minúscula;Alternative rock
Divlje jagode;{Heavy metal music|Hard rock}
Divlji Anđeli;Pop rock
Dixiana (band);Country music
Dixie Chicks;{Country music|Pop music|Bluegrass music|Alternative country|Soft rock|Country pop}
Dixie Dregs;{Progressive rock|Country rock|Hard rock|Southern rock|Jazz fusion}
Dixie Flyers;Bluegrass music
Dixie Melody Boys;Southern gospel
Dixie Witch;{Heavy metal music|Southern rock|Stoner rock}
Dixieland Jug Blowers;NULL
Dizmas;{Christian rock|Alternative rock|Post-hardcore}
Dizzy Mizz Lizzy;{Grunge|Alternative rock|Power metal}
Djabe;{World music|Jazz}
Djakout Mizik;Compas
